Periodo,01 Andalucía,02 Aragón,"03 Asturias, Principado de","04 Balears, Illes",05 Canarias,06 Cantabria,07 Castilla y León,08 Castilla - La Mancha,09 Cataluña,10 Comunitat Valenciana,11 Extremadura,12 Galicia,"13 Madrid, Comunidad de","14 Murcia, Región de","15 Navarra, Comunidad Foral de",16 País Vasco,"17 Rioja, La",18 Ceuta,19 Melilla,España,Extranjera,Mes,Anio
2015M02,1747713.0,466355.0,216270.0,137050.0,360667.0,171658.0,943248.0,707244.0,1403130.0,630725.0,288317.0,608815.0,999428.0,138684.0,154075.0,210888.0,105573.0,0.0,0.0,9291878.0,842584.0,2,2015
2015M03,1798165.0,517976.0,249191.0,215446.0,372186.0,250707.0,1021276.0,832816.0,1402766.0,978099.0,337594.0,669598.0,1101134.0,161036.0,232919.0,353256.0,148871.0,0.0,0.0,10648395.0,959799.0,3,2015
2015M04,2653625.0,743095.0,431038.0,272559.0,498839.0,363915.0,1534605.0,1141252.0,1885007.0,1556512.0,563218.0,852402.0,1357240.0,280490.0,256035.0,334921.0,130540.0,0.0,0.0,14859736.0,1476892.0,4,2015
2015M05,2804965.0,570966.0,335267.0,296731.0,472336.0,383712.0,1273400.0,1082347.0,1722475.0,1309145.0,344683.0,720153.0,1474529.0,276020.0,208389.0,347050.0,134430.0,0.0,0.0,13760840.0,1053460.0,5,2015
2015M06,2822058.0,528371.0,339814.0,416079.0,513929.0,448355.0,1261246.0,840424.0,2195720.0,1616267.0,287615.0,737718.0,1438985.0,301372.0,149826.0,412095.0,118239.0,0.0,0.0,14431520.0,1173552.0,6,2015
2015M07,3437880.0,641749.0,544277.0,436111.0,512718.0,453956.0,1567282.0,1006088.0,2466874.0,2020200.0,382761.0,1043541.0,955115.0,479889.0,172512.0,415889.0,156502.0,0.0,0.0,16702062.0,1620258.0,7,2015
2015M08,4833998.0,795181.0,715597.0,626787.0,672724.0,505424.0,2057342.0,1408249.0,3003308.0,3119563.0,674128.0,1585300.0,769994.0,612121.0,234164.0,426352.0,184695.0,0.0,0.0,22249754.0,2560191.0,8,2015
2015M09,2705241.0,440813.0,525120.0,420367.0,437948.0,341304.0,1539227.0,1009943.0,1817431.0,1448230.0,401663.0,857083.0,942039.0,263232.0,205107.0,386470.0,134538.0,0.0,0.0,13880072.0,1303441.0,9,2015
2015M10,1944071.0,490493.0,431982.0,221358.0,418512.0,195941.0,1383015.0,1265881.0,1598861.0,1067948.0,375684.0,787522.0,962154.0,212789.0,208615.0,345120.0,104764.0,0.0,0.0,12029368.0,1261043.0,10,2015
2015M11,1935968.0,484616.0,361814.0,145274.0,378839.0,203840.0,1199916.0,1086978.0,1401131.0,882993.0,406685.0,605474.0,948372.0,158231.0,195306.0,347192.0,166110.0,0.0,0.0,10916731.0,902240.0,11,2015
2015M12,1997280.0,579998.0,356002.0,137423.0,404379.0,192771.0,1278914.0,1015515.0,1461508.0,885161.0,390997.0,745052.0,1163372.0,222929.0,246734.0,375139.0,134993.0,0.0,0.0,11595239.0,1030579.0,12,2015
2016M01,1876244.0,620388.0,267651.0,147089.0,421708.0,156855.0,1359379.0,1068857.0,1730328.0,879337.0,375699.0,754592.0,1059911.0,220017.0,234497.0,361960.0,108004.0,0.0,0.0,11647698.0,1114576.0,1,2016
2016M02,2006327.0,702615.0,258987.0,135500.0,360648.0,173339.0,1086731.0,865664.0,1480025.0,802716.0,255231.0,648767.0,953558.0,219352.0,209038.0,319466.0,83299.0,0.0,0.0,10573336.0,902799.0,2,2016
2016M03,2768331.0,787421.0,362724.0,238692.0,476611.0,321380.0,1403947.0,1140861.0,2152553.0,1587139.0,581669.0,746796.0,1030063.0,276836.0,207949.0,417703.0,161473.0,0.0,0.0,14668319.0,1398738.0,3,2016
2016M04,2414021.0,568165.0,269592.0,185365.0,455260.0,251184.0,956369.0,837388.0,1569982.0,1005142.0,309110.0,669164.0,915647.0,198181.0,186821.0,365302.0,108015.0,0.0,0.0,11270617.0,1002865.0,4,2016
2016M05,2734771.0,594367.0,309769.0,220158.0,525513.0,463925.0,1488756.0,1256594.0,1945090.0,1246419.0,410144.0,685995.0,1375626.0,346555.0,185438.0,365267.0,134377.0,0.0,0.0,14299494.0,1120101.0,5,2016
2016M06,2452834.0,538571.0,311043.0,423525.0,511392.0,316566.0,1387082.0,1138299.0,2198470.0,1429534.0,282529.0,702687.0,1128632.0,329122.0,174486.0,401508.0,98724.0,0.0,0.0,13833353.0,1250044.0,6,2016
2016M07,3702812.0,827199.0,586176.0,384071.0,618073.0,633171.0,1845465.0,1234735.0,2468544.0,2397587.0,422736.0,1121524.0,1087780.0,530048.0,246442.0,522057.0,134259.0,0.0,0.0,18764818.0,1533199.0,7,2016
2016M08,4909900.0,925009.0,691668.0,590081.0,666231.0,742027.0,2263232.0,1372394.0,2687331.0,3007145.0,562275.0,1473815.0,954035.0,621613.0,241466.0,459294.0,149900.0,0.0,0.0,22327382.0,2527291.0,8,2016
2016M09,2870258.0,621485.0,309981.0,363429.0,452818.0,345183.0,1476246.0,985642.0,1793347.0,1553458.0,417208.0,899262.0,1156056.0,394564.0,274403.0,344110.0,116398.0,0.0,0.0,14387204.0,1443402.0,9,2016
2016M10,2235580.0,624777.0,275098.0,224291.0,460046.0,298627.0,1464220.0,847650.0,1645279.0,1274747.0,429811.0,746381.0,1106445.0,172197.0,246285.0,507726.0,115836.0,0.0,0.0,12678671.0,1145045.0,10,2016
2016M11,1704247.0,500305.0,215218.0,162023.0,348243.0,230261.0,1184232.0,642666.0,1326760.0,999772.0,332515.0,625556.0,1070480.0,187483.0,162016.0,390882.0,120135.0,0.0,0.0,10206364.0,1093404.0,11,2016
2016M12,2086187.0,701405.0,307164.0,163049.0,415775.0,236115.0,1257874.0,784626.0,1392810.0,1001710.0,379601.0,640597.0,1202815.0,267690.0,217374.0,400679.0,102698.0,0.0,0.0,11561535.0,1200589.0,12,2016
2017M01,2175644.0,708842.0,320126.0,163824.0,382511.0,256482.0,1404164.0,940132.0,1626762.0,1077902.0,424197.0,946862.0,1125583.0,233623.0,293501.0,441631.0,89146.0,0.0,0.0,12612414.0,1231313.0,1,2017
2017M02,2118344.0,664193.0,261214.0,177430.0,390955.0,231404.0,1298958.0,800431.0,1616978.0,950306.0,323477.0,656853.0,1028848.0,177504.0,216358.0,344167.0,100253.0,0.0,0.0,11359555.0,1011189.0,2,2017
2017M03,2040733.0,648042.0,338063.0,187062.0,426633.0,297450.0,1204814.0,815884.0,1777228.0,1300405.0,380627.0,627896.0,1173286.0,177724.0,220076.0,337930.0,80895.0,0.0,0.0,12043375.0,1017556.0,3,2017
2017M04,3284486.0,896654.0,506177.0,331850.0,513301.0,529372.0,1752916.0,1259675.0,2545140.0,1741171.0,605777.0,855863.0,1150168.0,294955.0,276533.0,359386.0,174325.0,0.0,0.0,17099436.0,1531350.0,4,2017
2017M05,2627713.0,515033.0,339557.0,277048.0,503257.0,365579.0,1463808.0,1168373.0,2263843.0,1380384.0,496585.0,811415.0,1164077.0,303914.0,210018.0,334215.0,134557.0,0.0,0.0,14365567.0,1265651.0,5,2017
2017M06,2679569.0,505377.0,363338.0,278788.0,484445.0,378847.0,1431226.0,1046754.0,2604560.0,1719808.0,335853.0,838179.0,1094467.0,407910.0,189157.0,360623.0,132370.0,0.0,0.0,14859595.0,1265396.0,6,2017
2017M07,3722493.0,751248.0,595484.0,483502.0,738537.0,653123.0,1628264.0,1318426.0,2824360.0,2335234.0,388117.0,1211607.0,1071125.0,608298.0,287840.0,446714.0,260176.0,0.0,0.0,19332240.0,1802208.0,7,2017
2017M08,4737042.0,813987.0,753156.0,592184.0,736666.0,700606.0,1995496.0,1399783.0,3100242.0,3219937.0,673202.0,1461189.0,951085.0,761604.0,344957.0,501957.0,187908.0,0.0,0.0,22933371.0,2888418.0,8,2017
2017M09,2877112.0,679292.0,402243.0,325345.0,656016.0,449249.0,1420203.0,1316193.0,2142416.0,1642932.0,393442.0,832617.0,1101412.0,440322.0,244524.0,360200.0,121483.0,0.0,0.0,15427414.0,1607793.0,9,2017
2017M10,2396435.0,700472.0,339334.0,229332.0,588820.0,317464.0,1510605.0,1042222.0,1839518.0,1208904.0,396090.0,774250.0,1182641.0,252609.0,272657.0,399138.0,203116.0,0.0,0.0,13672166.0,1200392.0,10,2017
2017M11,1787297.0,476670.0,234720.0,158476.0,376833.0,219487.0,1084953.0,864192.0,1423552.0,916983.0,360627.0,579766.0,1123639.0,222742.0,181451.0,374255.0,121127.0,0.0,0.0,10507680.0,950336.0,11,2017
2017M12,2142357.0,728080.0,359939.0,147297.0,469201.0,228231.0,1323239.0,900417.0,1463343.0,1046324.0,391189.0,691086.0,1312261.0,296270.0,190144.0,390916.0,96288.0,0.0,0.0,12186989.0,1517884.0,12,2017
2018M01,2275698.0,754520.0,315120.0,148582.0,401931.0,236344.0,1501982.0,891317.0,1681180.0,1264134.0,406665.0,836081.0,1254767.0,266484.0,244107.0,420264.0,68098.0,0.0,0.0,12971693.0,1286254.0,1,2018
2018M02,2194667.0,702823.0,255574.0,153940.0,398316.0,199702.0,1323156.0,767151.0,1715115.0,976519.0,354689.0,634316.0,1081604.0,212584.0,220610.0,360421.0,104415.0,0.0,0.0,11660434.0,1052471.0,2,2018
2018M03,2283067.0,683522.0,368402.0,178184.0,508775.0,266481.0,1266573.0,792639.0,1689503.0,1280289.0,326306.0,648397.0,1107782.0,227344.0,221847.0,348972.0,108047.0,0.0,0.0,12352865.0,1326644.0,3,2018
2018M04,2935186.0,773017.0,457851.0,299521.0,479477.0,509313.0,1654856.0,1197805.0,2303233.0,2058306.0,532564.0,784538.0,1351456.0,302530.0,243264.0,446840.0,141986.0,0.0,0.0,16496810.0,1751003.0,4,2018
2018M05,2904503.0,487142.0,380397.0,247086.0,546476.0,422974.0,1535507.0,1017906.0,2218588.0,1405691.0,491197.0,745945.0,1165620.0,269661.0,193636.0,407408.0,152018.0,0.0,0.0,14598049.0,1386440.0,5,2018
2018M06,2612725.0,517928.0,412642.0,364482.0,536851.0,357704.0,1335397.0,1035832.0,2763757.0,1627164.0,415465.0,796120.0,1182680.0,446278.0,209162.0,343315.0,165885.0,0.0,0.0,15166410.0,1316286.0,6,2018
2018M07,4063372.0,667580.0,513603.0,426378.0,735158.0,560595.0,1770097.0,1162681.0,2875773.0,2464242.0,424118.0,1138827.0,1064037.0,558573.0,269230.0,452803.0,174212.0,0.0,0.0,19332465.0,1913422.0,7,2018
2018M08,4364147.0,962282.0,772273.0,631851.0,819930.0,711649.0,2192725.0,1281223.0,3314244.0,3276527.0,647981.0,1473484.0,858498.0,688420.0,285425.0,495645.0,146613.0,0.0,0.0,22935515.0,3286502.0,8,2018
2018M09,2778112.0,675691.0,469589.0,361405.0,602888.0,443426.0,1380295.0,1127066.0,2081245.0,1721782.0,360675.0,971236.0,1164029.0,382106.0,189418.0,340069.0,197240.0,0.0,0.0,15258571.0,1845688.0,9,2018
2018M10,2360841.0,611385.0,343838.0,255555.0,657673.0,285380.0,1394107.0,958200.0,1615101.0,1217887.0,359871.0,668528.0,1213116.0,289549.0,260425.0,404899.0,166020.0,0.0,0.0,13077351.0,1427649.0,10,2018
2018M11,1824551.0,490512.0,233095.0,163987.0,355239.0,240298.0,1170650.0,966051.0,1483673.0,964172.0,328619.0,621599.0,1263428.0,222577.0,167980.0,351674.0,110189.0,0.0,0.0,10961430.0,1144022.0,11,2018
2018M12,2051041.0,725352.0,336759.0,116985.0,384385.0,199551.0,1180554.0,872707.0,1425866.0,1199908.0,337715.0,744702.0,1461430.0,230469.0,188449.0,393740.0,110221.0,0.0,0.0,11960757.0,1570736.0,12,2018
2019M01,2324769.0,662488.0,335300.0,176649.0,422322.0,188339.0,1252288.0,821128.0,1629528.0,1325505.0,324303.0,736674.0,1262826.0,203133.0,204701.0,434816.0,86756.0,0.0,0.0,12391524.0,1502879.0,1,2019
2019M02,2337778.0,691781.0,296625.0,152032.0,506949.0,213793.0,1081577.0,805939.0,1925281.0,1110572.0,339252.0,583513.0,1159943.0,231569.0,205736.0,395586.0,125503.0,0.0,0.0,12164319.0,1084931.0,2,2019
2019M03,2486262.0,644156.0,331532.0,227535.0,483017.0,273224.0,1363115.0,940528.0,1924479.0,1287475.0,347637.0,689582.0,1154013.0,200939.0,226113.0,455297.0,134943.0,0.0,0.0,13195665.0,1432653.0,3,2019
2019M04,2663408.0,742393.0,426388.0,255531.0,484913.0,463205.0,1619658.0,1167991.0,2374203.0,1867891.0,541690.0,768796.0,1141209.0,305065.0,269610.0,346772.0,182626.0,0.0,0.0,15676684.0,2012899.0,4,2019
2019M05,2568370.0,511275.0,425055.0,223647.0,438236.0,355022.0,1366286.0,884541.0,2106664.0,1469104.0,413941.0,717720.0,1277003.0,312899.0,221317.0,405295.0,117941.0,0.0,0.0,13821636.0,1409233.0,5,2019
2019M06,2839017.0,514835.0,489810.0,320567.0,576330.0,324971.0,1624168.0,882760.0,2769049.0,1968174.0,439893.0,834000.0,1179221.0,399325.0,220714.0,478905.0,175203.0,0.0,0.0,16043055.0,1510884.0,6,2019
2019M07,3838127.0,600926.0,572135.0,387559.0,798849.0,449257.0,1545882.0,930676.0,2581115.0,2642493.0,322581.0,1021748.0,817878.0,450123.0,248369.0,406352.0,204246.0,0.0,0.0,17852680.0,1991622.0,7,2019
2019M08,4526357.0,795307.0,747065.0,505871.0,868463.0,600264.0,2165861.0,1162660.0,2566218.0,3204630.0,541079.0,1547719.0,782134.0,586517.0,293664.0,436090.0,174219.0,0.0,0.0,21514838.0,3447082.0,8,2019
2019M09,2617420.0,524666.0,440756.0,390404.0,594605.0,490340.0,1561868.0,980505.0,1992826.0,1667121.0,359401.0,854733.0,1001563.0,246134.0,268854.0,367330.0,99793.0,0.0,0.0,14476799.0,1833448.0,9,2019
2019M10,1862823.0,539749.0,271054.0,280650.0,409592.0,246851.0,1283159.0,729062.0,1819492.0,1111577.0,265077.0,747721.0,1152874.0,239167.0,242467.0,397150.0,61881.0,0.0,0.0,11661846.0,1287952.0,10,2019
